hour_start,season,comed_price,comed_price_median,comed_cutoff,start_soc,end_soc,grid_kwh,solar_kwh,load_kwh,battery_charge_kwh,battery_discharge_kwh,policy_action,epcube_mode,reserve_soc,sample_count,used_fallback_power_integration
2026-04-01 19:00,shoulder,4.8,4.1,6.4,79,79,0.830,0.000,0.740,0.000,0.000,STARTUP,self_consumption,100,0,False
2026-04-01 19:00,shoulder,4.1,4.0,6.3,79,79,0.210,0.000,0.180,0.000,0.000,below_cutoff,self_consumption,100,14,False
2026-04-01 20:00,shoulder,2.8,3.8,6.2,79,79,1.900,0.000,1.800,0.000,0.000,below_cutoff,self_consumption,100,60,False
2026-04-01 21:00,shoulder,2.7,3.7,6.1,79,79,2.130,0.000,2.050,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-01 22:00,shoulder,11.7,3.7,6.1,79,71,0.260,0.000,2.030,0.000,1.600,above_cutoff,self_consumption,41,58,False
2026-04-01 23:00,shoulder,1.9,3.5,6.8,70,69,2.200,0.000,2.460,0.000,0.200,below_cutoff,self_consumption,100,59,False
2026-04-02 00:00,shoulder,2.5,3.5,6.8,69,69,2.453,0.000,2.365,0.000,0.000,below_cutoff,self_consumption,100,59,True
2026-04-02 01:00,shoulder,2.0,3.5,6.8,69,69,2.540,0.000,2.460,0.000,0.000,below_cutoff,self_consumption,100,60,False
2026-04-02 02:00,shoulder,1.6,3.5,6.8,69,69,3.220,0.000,3.120,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 03:00,shoulder,2.6,3.5,6.8,69,69,3.320,0.000,3.240,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 04:00,shoulder,2.4,3.4,6.7,69,69,2.510,0.000,2.420,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 05:00,shoulder,2.8,3.3,6.7,69,69,2.720,0.000,2.630,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 06:00,shoulder,4.2,3.3,5.9,69,69,1.080,0.000,1.010,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 07:00,shoulder,4.2,3.3,5.9,69,69,0.640,0.010,0.610,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 08:00,shoulder,5.1,3.3,6.0,69,69,1.000,0.060,0.980,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 09:00,shoulder,3.5,3.4,5.8,69,69,0.600,0.250,0.760,0.000,0.000,STARTUP,self_consumption,100,0,False
2026-04-02 09:00,shoulder,3.5,3.5,5.9,69,69,0.950,0.280,1.150,0.000,0.000,below_cutoff,self_consumption,100,48,False
2026-04-02 10:00,shoulder,3.6,3.4,6.3,69,69,1.240,0.410,1.560,0.000,0.000,below_cutoff,self_consumption,100,60,False
2026-04-02 11:00,shoulder,3.8,3.3,6.7,69,69,0.780,0.660,1.350,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 12:00,shoulder,2.8,3.2,6.8,69,69,0.350,1.090,1.360,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 13:00,shoulder,3.5,3.2,6.5,69,69,0.470,1.260,1.630,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 14:00,shoulder,4.4,3.2,6.0,69,69,0.870,0.800,1.560,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 15:00,shoulder,1.2,3.1,5.5,69,69,0.990,0.500,1.390,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 16:00,shoulder,2.2,3.1,5.3,69,69,0.940,0.430,1.290,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 17:00,shoulder,15.0,3.1,5.2,69,70,1.050,0.630,1.530,0.200,0.000,above_cutoff,self_consumption,36,59,False
2026-04-02 18:00,shoulder,4.0,3.0,5.1,70,70,1.290,0.460,1.720,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 19:00,shoulder,12.8,3.0,5.3,70,66,0.220,0.000,0.980,0.000,0.800,above_cutoff,self_consumption,39,59,False
2026-04-02 20:00,shoulder,3.3,3.1,5.4,66,65,1.310,0.000,1.360,0.000,0.200,below_cutoff,self_consumption,100,59,False
2026-04-02 21:00,shoulder,3.9,3.1,5.4,65,64,0.640,0.000,0.790,0.000,0.200,below_cutoff,self_consumption,100,59,False
2026-04-02 22:00,shoulder,2.8,3.1,5.4,64,64,1.540,0.000,1.450,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-02 23:00,shoulder,2.7,3.1,6.2,64,64,1.500,0.000,1.410,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 00:00,shoulder,2.7,3.1,6.2,64,64,2.052,0.000,1.964,0.000,0.000,below_cutoff,self_consumption,100,59,True
2026-04-03 01:00,shoulder,2.2,3.1,6.2,64,64,2.100,0.000,2.000,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 02:00,shoulder,2.4,3.1,6.2,64,64,1.610,0.000,1.510,0.000,0.000,below_cutoff,self_consumption,100,60,False
2026-04-03 03:00,shoulder,3.5,3.1,6.2,64,64,1.440,0.000,1.350,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 04:00,shoulder,6.3,3.1,6.2,64,64,1.400,0.000,1.310,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 05:00,shoulder,8.0,3.2,6.3,64,63,1.190,0.000,1.320,0.000,0.200,above_cutoff,self_consumption,50,59,False
2026-04-03 06:00,shoulder,3.9,3.2,5.5,63,62,1.170,0.010,1.330,0.000,0.200,below_cutoff,self_consumption,100,59,False
2026-04-03 07:00,shoulder,6.2,3.2,5.6,62,60,0.760,0.140,1.170,0.000,0.400,above_cutoff,self_consumption,50,59,False
2026-04-03 08:00,shoulder,3.4,3.2,5.7,60,60,0.080,0.530,0.510,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 09:00,shoulder,3.6,3.2,5.8,60,63,0.030,1.300,0.710,0.600,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 10:00,shoulder,2.6,3.2,6.2,63,66,0.100,2.150,1.340,0.600,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 11:00,shoulder,2.3,3.1,6.3,66,74,0.740,4.060,3.190,1.600,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 12:00,shoulder,2.3,3.1,6.3,74,82,0.500,4.620,3.280,1.600,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 13:00,shoulder,2.4,3.1,6.0,82,93,-12.520,4.690,1.610,2.200,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 14:00,shoulder,3.6,3.1,5.5,93,95,0.650,3.960,4.000,0.400,0.000,below_cutoff,self_consumption,100,60,False
2026-04-03 15:00,shoulder,7.2,3.1,5.0,95,95,-12.620,3.040,2.520,0.000,0.000,above_cutoff,self_consumption,60,58,False
2026-04-03 16:00,shoulder,3.8,3.2,4.9,95,95,12.920,1.340,0.560,0.000,0.000,below_cutoff,self_consumption,100,59,False
2026-04-03 17:00,shoulder,2.1,3.2,4.7,95,95,2.180,0.850,2.700,0.000,0.000,below_cutoff,self_consumption,100,59,False
